"","kml_s_e","kml_e","kml_s","Lng","Lat","Lng_e","Lat_e","count"
"206","67_133",133,67,104.7722805,31.4250537,104.6728452,31.440843,14
"207","67_135",135,67,104.7722805,31.4250537,104.7654496,31.4413548,27
"208","67_199",199,67,104.7722805,31.4250537,104.7601253,31.4498679,11
"209","67_234",234,67,104.7722805,31.4250537,104.7080299,31.451863,22
"210","67_237",237,67,104.7722805,31.4250537,104.7523913,31.4520034,36
"211","67_248",248,67,104.7722805,31.4250537,104.7428198,31.4526103,13
"212","67_260",260,67,104.7722805,31.4250537,104.7575349,31.4534645,66
"213","67_291",291,67,104.7722805,31.4250537,104.7321556,31.4547659,26
"214","67_317",317,67,104.7722805,31.4250537,104.7292506,31.456155,26
"215","67_349",349,67,104.7722805,31.4250537,104.7376795,31.4573698,51
"216","67_351",351,67,104.7722805,31.4250537,104.6124199,31.4576314,16
"217","67_368",368,67,104.7722805,31.4250537,104.7070146,31.4584759,24
"218","67_383",383,67,104.7722805,31.4250537,104.7482298,31.4588608,11
"219","67_389",389,67,104.7722805,31.4250537,104.6219992,31.4592982,19
"220","67_408",408,67,104.7722805,31.4250537,104.7531982,31.4604576,18
"221","67_476",476,67,104.7722805,31.4250537,104.7271958,31.4633226,19
"222","67_479",479,67,104.7722805,31.4250537,104.7527998,31.4642013,17
"223","67_516",516,67,104.7722805,31.4250537,104.7406819,31.4655495,39
"224","67_517",517,67,104.7722805,31.4250537,104.7489154,31.4663021,14
"225","67_519",519,67,104.7722805,31.4250537,104.7429271,31.4654325,20
"226","67_540",540,67,104.7722805,31.4250537,104.7301992,31.4668558,17
"227","67_548",548,67,104.7722805,31.4250537,104.6856626,31.4673085,24
"228","67_67",67,67,104.7722805,31.4250537,104.7722805,31.4250537,106
"229","67_788",788,67,104.7722805,31.4250537,104.7656124,31.4863085,11
"230","67_791",791,67,104.7722805,31.4250537,104.7300507,31.486623,20
"231","67_836",836,67,104.7722805,31.4250537,104.685367,31.4898035,13
"232","67_915",915,67,104.7722805,31.4250537,104.7343212,31.4966375,14
