name,author,source,time,database,downloads,faculty,key_words,classification_number
刻板印象研究:一个网络热点事件的社会心理研究,徐砺,四川劳动保障,2017/10/15,期刊,216,成都信息工程大学文化艺术学院,刻板印象; 社会心理; “涉富”事件; “最牛婚礼”; ,C912.6
基于改进LeNet-5模型的手写数字识别,邓长银;张杰,信息通信,2018/1/15,期刊,457,成都信息工程大学通信工程学院,深度学习; 卷积神经网络; LeNet-5模型; 手写数字; 识别性能; ,TP183;TP391.41
基于信息熵的DBN网络结构优化,廖强;张杰,信息通信,2018/1/15,期刊,125,成都信息工程大学通信工程学院,深度信念网络; DBN; 信息熵; 网络深度; 隐藏层神经元数; ,TP183
Supplement卷积神经网络的图像分类方法,王强;李孝杰;陈俊,计算机辅助设计与图形学学报,2018/3/15,期刊,328,成都信息工程大学计算机学院,深度学习; 卷积神经网络; 图像分类; 负值特征; TP18;TP391.41,
网络安全实验示范班人才培养模式探索,李斌勇;乔少杰;熊熙;姚瑶,计算机教育,2018/3/10,期刊,151,成都信息工程大学网络空间安全学院,网络安全; 实验示范班; 培养模式; 选拔考核; ,G642;TP393.08-4
中小企业OpenStack云平台高可用技术研究与实现,闫映东;文成玉,无线互联科技,2018/3/10,期刊,70,成都信息工程大学通信工程学院,高可用; Keepalived; 链路绑定; ,TP393.09
基于遗传算法的BP神经网络对高炉炉温的预测,汤启友,山东工业技术,2018/5/11,期刊,147,成都信息工程大学,遗传算法; BP神经网络; 炉温预测; ,TF54;TP18
高校学生思想政治教育网络载体的运用初探,时裴,读与写(教育教学刊),2018/3/15,期刊,66,成都信息工程大学银杏酒店管理学院,中国梦; 校园文化; 价值观; 游戏教学; ,G641
基于SPICE协议的虚拟桌面技术,刘子杰;文成玉;薛霁,计算机系统应用,2018/4/15,期刊,58,成都信息工程大学通信工程学院,SPICE框架; Openstack; 虚拟桌面; SPICE协议; ,TP368.5;TP391.9
一种用于6LoWPAN的低功耗路由协议,崔栋才;胡志恒,成都信息工程大学学报,2018/2/15,期刊,77,成都信息工程大学通信工程学院,计算机应用; 无线传感网络; 路由协议; 6LoWPAN; RPL; ,TN929.5;TP212.9
基于社会力异常检测改进算法的人群行为模型,卢丽;许源平;卢军;黄健;张朝龙,成都信息工程大学学报,2018/2/15,期刊,86,成都信息工程大学软件工程学院英国哈德斯菲尔德大学,社会力; 人群异常检测; 无监督算法; 轨迹聚类; 群体行为; 深度学习; 视频监控; ,TP391.41
农村电子商务问题及对策研究——以自贡市扶贫现状为例,彭岚;陈蕗蕗,现代商业,2018/3/8,期刊,111,成都信息工程大学物流学院,电子商务; 扶贫; 自贡市; ,F323.8;F724.6
多层网络节点重要性排序研究,王娟;石磊;王祖俪,计算机应用研究,2017/6/14,期刊,484,成都信息工程大学网络空间安全学院电子科技大学网络与数据安全四川省重点实验室,节点重要性排序; 多层网络; 层次分析法; 逼近理想排序法; ,O157.5
基于ADS的4 G飞地系统的IDPA仿真与优化设计,张印奇;贾博;李乐中,成都信息工程大学学报,2018/4/15,期刊,25,成都信息工程大学光电技术学院,ADS; 4 G系统; 反向Doherty功率放大器; 功率附加效率; ,TN722.75;TN929.5
基于区块链技术的车联网汽车身份认证可行性研究,刘勇;李飞;高路路;徐翔,汽车技术,2018/5/21,期刊,1047,成都信息工程大学,车联网; 身份认证; 区块链; V2X; ,U463.67;U495
农村电子商务推动新型城镇化的动力机制研究,纪淑娴;施莉,农村经济与科技,2018/5/20,期刊,121,浙江科技学院经济管理学院成都信息工程大学物流学院,淘宝村; 新型城镇化; 电子商务; ,F299.21;F724.6
网络文学影视改编的文化产业影响研究,赖敏;方杰,西南石油大学学报(社会科学版),2018/5/23,期刊,789,成都信息工程大学文化艺术学院成都信息工程大学商学院,网络文学产业; 影视文化产业; 产业融合; 四川影响; IP改编; ,G124;I206.7
我国网络评论中的不文明现象解读——兼论“主观公共空间”,陈欢;晏菁;李源;祖霞,青年发展论坛,2018/5/15,期刊,111,成都信息工程大学管理学院,网络评论; 不文明现象; 主观公共空间; ,D669;G206
基于LSTM神经网络的麻疹发病率预测,韩天齐;宋波,电脑与电信,2018/5/10,期刊,184,成都信息工程大学网络空间安全学院,麻疹发病预测; LSTM; 循环神经网络; 时间序列; ,R511.1;TP183
基于互联网时代下传统出版业转型路径分析,何双君;杨曦,文化创新比较研究,2018/7/1,期刊,47,成都信息工程大学银杏酒店管理学院旅游管理系,传统出版业; 互联网; 转型升级; 数字化; ,G239.2-F
基于Linux开源的聚合社区的研究意义,敖成考;秦智,价值工程,2018/8/7,期刊,36,成都信息工程大学网络空间安全学院,Linux开源社区; 开源意义; 网络与安全; 物联网; ,G642;TP3-4
激活函数在卷积神经网络中的对比研究,田娟;李英祥;李彤岩,计算机系统应用,2018/7/15,期刊,323,成都信息工程大学通信工程学院,卷积神经网络; 激活函数; Caffe; 梯度下降法; 网络性能; ,TP183
基于双向LSTM模型的文本情感分类,任勉;甘刚,计算机工程与设计,2018/7/16,期刊,393,成都信息工程大学网络空间安全学院,双向长短时记忆循环神经网络; 词向量; 长短时记忆网络; 循环神经网络; 文本情感倾向性分析; ,TP391.1
基于决策树-LMBP神经网络的学生成绩分析及预测模型的研究,吴强;方睿;韩斌;贾川;浦东,成都信息工程大学学报,2018/6/15,期刊,333,成都信息工程大学网络空间安全学院,教育数据挖掘; LMBP神经网络; 决策树C4.5; ,TP183;TP311.13
特殊网络流量识别综述,曹诗敏;王娟,电脑知识与技术,2018/6/15,期刊,147,成都信息工程大学,特殊网络; 流量识别; P2P网络; 僵尸网络; 匿名网络; Tor; ,TP393.06
中小企业集群治理风险传导路径研究——基于小世界网络的视角,万国超;曹邦英,财经理论研究,2018/8/2,期刊,231,成都信息工程大学商学院,中小企业集群; 治理风险; 传导路径; 治理框架; ,F276.3
农业创新网络发展研究,黄茜;鲍文,甘肃农业,2018/6/25,期刊,57,成都信息工程大学商学院,农业创新网络; 乡村振兴战略; 农村发展; ,F323.3
主流媒体新闻报道对社会价值观的引导,李正华,新闻战线,2018/4/23,期刊,101,成都信息工程大学发展规划处,主流媒体; “两徽一端”; 社会价值观; ,D64;G212.2
移动端非显式用户身份信息的隐私问题研究,张颖;代遵志;滕彩峰;张路桥,计算机系统应用,2018/8/15,期刊,13,成都信息工程大学网络空间安全学院,移动互联网; 隐私保护; 用户行为数据; 用户行为模式; ,TP309
基于ZigBee的教学应答系统软件设计,陈科;苏鲁阳;杨笔锋,信息技术与网络安全,2018/8/10,期刊,40,成都信息工程大学中国气象局大气探测重点开放实验室,ZigBee; Z-stack; 课堂应答系统; 无线通信; 组网; ,TN92;TP311.52
